,canton,municipality
0,Aargau,Aarau
1,Aargau,Aarburg
2,Aargau,Abtwil
3,Aargau,Ammerswil
4,Aargau,Aristau
5,Aargau,Arni (AG)
6,Aargau,Attelwil
7,Aargau,Auenstein
8,Aargau,Auw
9,Aargau,Bad Zurzach
10,Aargau,Baden
11,Aargau,Baldingen
12,Aargau,Beinwil (Freiamt)
13,Aargau,Beinwil am See
14,Aargau,Bellikon
15,Aargau,Benzenschwil
16,Aargau,Bergdietikon
17,Aargau,Berikon
18,Aargau,Besenbüren
19,Aargau,Bettwil
20,Aargau,Biberstein
21,Aargau,Birmenstorf (AG)
22,Aargau,Birr
23,Aargau,Birrhard
24,Aargau,Birrwil
25,Aargau,Boniswil
26,Aargau,Boswil
27,Aargau,Bottenwil
28,Aargau,Bremgarten (AG)
29,Aargau,Brittnau
30,Aargau,Brugg
31,Aargau,Brunegg
32,Aargau,Buchs (AG)
33,Aargau,Burg (AG)
34,Aargau,Buttwil
35,Aargau,Böbikon
36,Aargau,Böttstein
37,Aargau,Bözen
38,Aargau,Bünzen
39,Aargau,Büttikon
40,Aargau,Densbüren
41,Aargau,Dietwil
42,Aargau,Dintikon
43,Aargau,Dottikon
44,Aargau,Döttingen
45,Aargau,Dürrenäsch
46,Aargau,Effingen
47,Aargau,Eggenwil
48,Aargau,Egliswil
49,Aargau,Ehrendingen
50,Aargau,Eiken
51,Aargau,Elfingen
52,Aargau,Endingen
53,Aargau,Ennetbaden
54,Aargau,Erlinsbach (AG)
55,Aargau,Fahrwangen
56,Aargau,Fischbach-Göslikon
57,Aargau,Fisibach
58,Aargau,Fislisbach
59,Aargau,Freienwil
60,Aargau,Frick
61,Aargau,Full-Reuenthal
62,Aargau,Gallenkirch
63,Aargau,Gansingen
64,Aargau,Gebenstorf
65,Aargau,Geltwil
66,Aargau,Gipf-Oberfrick
67,Aargau,Gontenschwil
68,Aargau,Gränichen
69,Aargau,Habsburg
70,Aargau,Hallwil
71,Aargau,Hausen (AG)
72,Aargau,Hellikon
73,Aargau,Hendschiken
74,Aargau,Hermetschwil-Staffeln
75,Aargau,Herznach
76,Aargau,Hirschthal
77,Aargau,Holderbank (AG)
78,Aargau,Holziken
79,Aargau,Hornussen
80,Aargau,Hunzenschwil
81,Aargau,Hägglingen
82,Aargau,Islisberg
83,Aargau,Jonen
84,Aargau,Kaiseraugst
85,Aargau,Kaiserstuhl
86,Aargau,Kaisten
87,Aargau,Kallern
88,Aargau,Killwangen
89,Aargau,Kirchleerau
90,Aargau,Klingnau
91,Aargau,Koblenz
92,Aargau,Kölliken
93,Aargau,Künten
94,Aargau,Küttigen
95,Aargau,Laufenburg
96,Aargau,Leibstadt
97,Aargau,Leimbach (AG)
98,Aargau,Lengnau (AG)
99,Aargau,Lenzburg
100,Aargau,Leuggern
101,Aargau,Leutwil
102,Aargau,Linn
103,Aargau,Lupfig
104,Aargau,Magden
105,Aargau,Mandach
106,Aargau,Meisterschwanden
107,Aargau,Mellikon
108,Aargau,Mellingen
109,Aargau,Menziken
110,Aargau,Merenschwand
111,Aargau,Mettauertal
112,Aargau,Moosleerau
113,Aargau,Muhen
114,Aargau,Mumpf
115,Aargau,Murgenthal
116,Aargau,Muri (AG)
117,Aargau,Mägenwil
118,Aargau,Möhlin
119,Aargau,Mönthal
120,Aargau,Möriken-Wildegg
121,Aargau,Mühlau
122,Aargau,Mülligen
123,Aargau,Münchwilen (AG)
124,Aargau,Neuenhof
125,Aargau,Niederlenz
126,Aargau,Niederrohrdorf
127,Aargau,Niederwil (AG)
128,Aargau,Oberbözberg
129,Aargau,Oberentfelden
130,Aargau,Oberflachs
131,Aargau,Oberhof
132,Aargau,Oberkulm
133,Aargau,Oberlunkhofen
134,Aargau,Obermumpf
135,Aargau,Oberrohrdorf
136,Aargau,Oberrüti
137,Aargau,Obersiggenthal
138,Aargau,Oberwil-Lieli
139,Aargau,Oeschgen
140,Aargau,Oftringen
141,Aargau,Olsberg
142,Aargau,Othmarsingen
143,Aargau,Reinach (AG)
144,Aargau,Reitnau
145,Aargau,Rekingen (AG)
146,Aargau,Remetschwil
147,Aargau,Remigen
