,date,title,Zürich,Bern,Luzern,Uri,Schwyz,Obwalden,Nidwalden,Glarus,Zug,Freiburg,Solothurn,Basel-Stadt,Basel-Landschaft,Schaffhausen,Appenzell A.-Rh.,Appenzell I.-Rh.,St. Gallen,Graubünden,Aargau,Thurgau,Tessin,Waadt,Wallis,Neuenburg,Genf,Jura
0,12.05.1872,Totalrevision,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,
1,19.04.1874,Totalrevision,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,
2,23.05.1875,Bundesgesez betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,
3,23.05.1875,Bundesgesez über die politische Stimmberechtigung der Schweizerbürger,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,
4,23.04.1876,Bundesgesez über die Ausgabe und Einlösung von Banknoten,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,
5,09.07.1876,Bundesgesez betreffend die Militärpflichtersatzsteuer,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,
6,21.10.1877,Bundesgesez betreffend die Arbeit in den Fabriken,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,
7,21.10.1877,Bundesgesez betreffend den Militärpflichtersaz,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,
8,21.10.1877,Bundesgesez betreffend die politischen Rechte der Niedergelassenen und Aufenthalter und den Verlust der politischen Rechte der Schweizerbürger,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,
9,19.01.1879,Bundesgesez betreffend Gewährung von Subsidien für Alpenbahnen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,
10,18.05.1879,Bundesbeschluss betreffend Abänderung von Artikel 65 der Bundesverfassung (Todesstrafe),0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,
11,31.10.1880,Bundesbeschluss betreffend den durch das Volksbegehren vom 3. August 1880 gestellten Antrag auf Revision der Bundesverfassung ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,
12,30.07.1882,Bundesbeschluss betreffend den Erfindungsschutz,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,
13,30.07.1882,Bundesgesez betreffend Massnahmen gegen gemeingefährliche Epidemien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
14,26.11.1882,Bundesbeschluss betreffend die Vollziehung des Artikels 27 der Bundesverfassung (Unterrichtswesen),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
15,11.05.1884,Bundesgesetz betreffend die Organisation des eidgenössischen Justiz- und Polizeidepartements,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,
16,11.05.1884,Bundesbeschluss betreffend die Patenttaxen der Handelsreisenden,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,
17,11.05.1884,Bundesgesetz betreffend die Ergänzung des Bundesstrafrechtes vom 4. Februar 1853,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,
